Account,Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Automation Agency,,ai automation agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Automation Agency,,ai automation agency,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Automation Agency,,,,Responsive search ad,Ai Automation Agency,Ai Automation Agency India,Ai Automation Agency Team,Ai Automation Agency Experts,Automate the Busywork,Live Pilot in Weeks,On Time or Money-Back,Free Automation Audit,"Working Pilot, Then Scale",AI Agents That Do the Work,Cut Hours of Manual Work,We Map ROI in the Audit,"Your Tools, Connected by AI",Workflows and Code Are Yours,No Per-Task Reseller Markup,"AI automation agency that automates the repetitive, manual work draining your team.","Free automation audit first. Working pilot in weeks - on time and on scope, or money back.","AI agents and workflow automation across your CRM, email, docs and back office.","You own the workflows and source code. No per-task reseller markup, no lock-in.",ai-automation,india,https://ai.rdmi.in/ai-automation-agency
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Automation Services,,ai automation services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Automation Services,,ai automation services,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Automation Services,,,,Responsive search ad,Ai Automation Services,Ai Automation Services India,Ai Automation Services Team,Ai Automation Services Experts,Automate the Busywork,Live Pilot in Weeks,On Time or Money-Back,Free Automation Audit,"Working Pilot, Then Scale",AI Agents That Do the Work,Cut Hours of Manual Work,We Map ROI in the Audit,"Your Tools, Connected by AI",Workflows and Code Are Yours,No Per-Task Reseller Markup,"AI automation agency that automates the repetitive, manual work draining your team.","Free automation audit first. Working pilot in weeks - on time and on scope, or money back.","AI agents and workflow automation across your CRM, email, docs and back office.","You own the workflows and source code. No per-task reseller markup, no lock-in.",ai-automation,india,https://ai.rdmi.in/ai-automation-agency
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Workflow Automation,,ai workflow automation,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Workflow Automation,,ai workflow automation,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Workflow Automation,,,,Responsive search ad,Ai Workflow Automation,Ai Workflow Automation India,Ai Workflow Automation Team,Ai Workflow Automation Experts,Automate the Busywork,Live Pilot in Weeks,On Time or Money-Back,Free Automation Audit,"Working Pilot, Then Scale",AI Agents That Do the Work,Cut Hours of Manual Work,We Map ROI in the Audit,"Your Tools, Connected by AI",Workflows and Code Are Yours,No Per-Task Reseller Markup,"AI automation agency that automates the repetitive, manual work draining your team.","Free automation audit first. Working pilot in weeks - on time and on scope, or money back.","AI agents and workflow automation across your CRM, email, docs and back office.","You own the workflows and source code. No per-task reseller markup, no lock-in.",ai-workflow,india,https://ai.rdmi.in/ai-automation-agency
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Workflow Automation Services,,workflow automation services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Automation SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Workflow Automation Services,,workflow automation services,Exact,,,,,,,,,,,,,,,,,,,,,,,
