Account,Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development Company,,ai chatbot development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development Company,,ai chatbot development company,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development Company,,,,Responsive search ad,Ai Chatbot Development Company,Chatbot on Your Own Content,"Answers, Not Hallucinations",See a Demo on Your Content,Live on Web and WhatsApp,Qualifies and Logs Leads,Hands Off to a Human,RAG-Grounded AI Chatbot,24/7 Support and Sales Bot,"Custom, Not a Plugin",Prompts and Code Are Yours,Talk to a Chatbot Engineer,Knowledge-Base Chatbot,Built for Support and Leads,No Per-Message Lock-In,"AI chatbot development company building bots that answer from your content, not guesses.","Custom support and sales chatbots, RAG-grounded, live on web and WhatsApp with human",See a working demo on your own content before you pay. Captures and qualifies leads,"You own the prompts and source code. No per-message reseller markup, no lock-in.",ai-chatbot,india,https://ai.rdmi.in/ai-chatbot-development
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development,,ai chatbot development,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development,,ai chatbot development,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development,,,,Responsive search ad,Ai Chatbot Development,Ai Chatbot Development India,Ai Chatbot Development Team,Ai Chatbot Development Experts,Chatbot on Your Own Content,"Answers, Not Hallucinations",See a Demo on Your Content,Live on Web and WhatsApp,Qualifies and Logs Leads,Hands Off to a Human,RAG-Grounded AI Chatbot,24/7 Support and Sales Bot,"Custom, Not a Plugin",Prompts and Code Are Yours,Talk to a Chatbot Engineer,"AI chatbot development company building bots that answer from your content, not guesses.","Custom support and sales chatbots, RAG-grounded, live on web and WhatsApp with human",See a working demo on your own content before you pay. Captures and qualifies leads,"You own the prompts and source code. No per-message reseller markup, no lock-in.",ai-chatbot,india,https://ai.rdmi.in/ai-chatbot-development
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development Services,,ai chatbot development services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development Services,,ai chatbot development services,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Chatbot Development Services,,,,Responsive search ad,Ai Chatbot Development,Chatbot on Your Own Content,"Answers, Not Hallucinations",See a Demo on Your Content,Live on Web and WhatsApp,Qualifies and Logs Leads,Hands Off to a Human,RAG-Grounded AI Chatbot,24/7 Support and Sales Bot,"Custom, Not a Plugin",Prompts and Code Are Yours,Talk to a Chatbot Engineer,Knowledge-Base Chatbot,Built for Support and Leads,No Per-Message Lock-In,"AI chatbot development company building bots that answer from your content, not guesses.","Custom support and sales chatbots, RAG-grounded, live on web and WhatsApp with human",See a working demo on your own content before you pay. Captures and qualifies leads,"You own the prompts and source code. No per-message reseller markup, no lock-in.",ai-chatbot,india,https://ai.rdmi.in/ai-chatbot-development
9561365956,RDMI | AI Chatbot SKAG | India,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Custom Ai Chatbot Development,,custom ai chatbot development,Phrase,,,,,,,,,,,,,,,,,,,,,,,
