Account,Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Receptionist,,ai receptionist,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Receptionist,,ai receptionist,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Receptionist,,,,Responsive search ad,Ai Receptionist,Ai Receptionist India,Ai Receptionist Team,Ai Receptionist Experts,Answers Every Call 24/7,Never Miss a Call Again,Books Into Your Calendar,Hear a Live Demo in Days,Qualifies and Logs Leads,Warm-Transfers to a Human,24/7 AI Call Answering,No More Missed Bookings,Sounds Like Your Front Desk,"Voice AI, Sub-Second Reply",Your Prompts and Code Yours,"AI receptionist that answers every call 24/7, books appointments and captures leads.","Natural voice AI: answers, books into your calendar, qualifies leads, transfers urgent","Hear a working agent on your scripts in days. Source code and prompts yours, no lock-in.","Built for clinics, law firms and insurance agencies. Talk to a voice-AI engineer in 2",ai-receptionist,india,https://ai.rdmi.in/ai-receptionist
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Voice Agent,,ai voice agent,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Voice Agent,,ai voice agent,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Voice Agent,,,,Responsive search ad,Ai Voice Agent,Ai Voice Agent India,Ai Voice Agent Team,Ai Voice Agent Experts,Answers Every Call 24/7,Never Miss a Call Again,Books Into Your Calendar,Hear a Live Demo in Days,Qualifies and Logs Leads,Warm-Transfers to a Human,24/7 AI Call Answering,No More Missed Bookings,Sounds Like Your Front Desk,"Voice AI, Sub-Second Reply",Your Prompts and Code Yours,"AI receptionist that answers every call 24/7, books appointments and captures leads.","Natural voice AI: answers, books into your calendar, qualifies leads, transfers urgent","Hear a working agent on your scripts in days. Source code and prompts yours, no lock-in.","Built for clinics, law firms and insurance agencies. Talk to a voice-AI engineer in 2",ai-voice,india,https://ai.rdmi.in/ai-receptionist
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Phone Answering Service,,ai phone answering service,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Phone Answering Service,,ai phone answering service,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Phone Answering Service,,,,Responsive search ad,Ai Phone Answering Service,Answers Every Call 24/7,Never Miss a Call Again,Books Into Your Calendar,Hear a Live Demo in Days,Qualifies and Logs Leads,Warm-Transfers to a Human,24/7 AI Call Answering,No More Missed Bookings,Sounds Like Your Front Desk,"Voice AI, Sub-Second Reply",Your Prompts and Code Yours,Built for Clinics and Firms,Talk to a Voice-AI Engineer,Live Demo on Your Scripts,"AI receptionist that answers every call 24/7, books appointments and captures leads.","Natural voice AI: answers, books into your calendar, qualifies leads, transfers urgent","Hear a working agent on your scripts in days. Source code and prompts yours, no lock-in.","Built for clinics, law firms and insurance agencies. Talk to a voice-AI engineer in 2",ai-phone,india,https://ai.rdmi.in/ai-receptionist
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Virtual Receptionist Software,,virtual receptionist software,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Virtual Receptionist Software,,virtual receptionist software,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Virtual Receptionist Software,,,,Responsive search ad,Virtual Receptionist Software,Answers Every Call 24/7,Never Miss a Call Again,Books Into Your Calendar,Hear a Live Demo in Days,Qualifies and Logs Leads,Warm-Transfers to a Human,24/7 AI Call Answering,No More Missed Bookings,Sounds Like Your Front Desk,"Voice AI, Sub-Second Reply",Your Prompts and Code Yours,Built for Clinics and Firms,Talk to a Voice-AI Engineer,Live Demo on Your Scripts,"AI receptionist that answers every call 24/7, books appointments and captures leads.","Natural voice AI: answers, books into your calendar, qualifies leads, transfers urgent","Hear a working agent on your scripts in days. Source code and prompts yours, no lock-in.","Built for clinics, law firms and insurance agencies. Talk to a voice-AI engineer in 2",virtual,india,https://ai.rdmi.in/ai-receptionist
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Answering Service,,ai answering service,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Answering Service,,ai answering service,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | AI Receptionist SKAG | Global,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ai Answering Service,,,,Responsive search ad,Ai Answering Service,Ai Answering Service India,Ai Answering Service Team,Ai Answering Service Experts,Answers Every Call 24/7,Never Miss a Call Again,Books Into Your Calendar,Hear a Live Demo in Days,Qualifies and Logs Leads,Warm-Transfers to a Human,24/7 AI Call Answering,No More Missed Bookings,Sounds Like Your Front Desk,"Voice AI, Sub-Second Reply",Your Prompts and Code Yours,"AI receptionist that answers every call 24/7, books appointments and captures leads.","Natural voice AI: answers, books into your calendar, qualifies leads, transfers urgent","Hear a working agent on your scripts in days. Source code and prompts yours, no lock-in.","Built for clinics, law firms and insurance agencies. Talk to a voice-AI engineer in 2",ai-answering,india,https://ai.rdmi.in/ai-receptionist
