Account,Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,,,,,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Company,,web development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Company,,web development company,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Company,,,,Responsive search ad,Web Development Company,Web Development Company India,Top Web Development Company,Best Web Development Company,Websites Built to Convert,"Not a Brochure, a Lead Engine","Ranks, Loads Fast, Converts",Talk to a Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We're Late,200+ Websites Delivered,Loads in Under 1 Second,24/7 AI Chat Built In,Senior Indian Developers,"A web development company that builds sites to win enquiries, not just look pretty.",Talk direct to a senior Indian web developer in 2 hours. No sales rep. Source code yours.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ shipped.,"Sites that load under 1 second, rank on Google, and capture leads 24/7 with AI chat.",web-development,india,https://ai.rdmi.in/web-development-company
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Website Development Company,,website development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Website Development Company,,website development company,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Website Development Company,,,,Responsive search ad,Website Development Company,Business Sites That Convert,"More Enquiries, Not Just Looks",Built to Win You Leads,Talk to a Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We're Late,200+ Websites Delivered,Loads in Under 1 Second,24/7 AI Chat Built In,Senior Indian Developers,Source Code Yours Day One,"No Sales Reps, Just Devs",Live Staging in 14 Days,A website development company building business sites that turn visitors into leads.,Talk direct to a senior Indian web developer in 2 hours. No sales rep. Source code yours.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ shipped.,"Sites that load under 1 second, rank on Google, and capture leads 24/7 with AI chat.",website,india,https://ai.rdmi.in/website-development-company
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Custom Website Development,,custom website development,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Custom Website Development,,custom website development,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Custom Website Development,,,,Responsive search ad,Custom Website Development,Top Custom Website Development,Built From Scratch,"No Templates, No Page-Builders",Coded Around Your Business,Talk to a Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We're Late,200+ Websites Delivered,Loads in Under 1 Second,24/7 AI Chat Built In,Senior Indian Developers,Source Code Yours Day One,"No Sales Reps, Just Devs",Custom website development from scratch - no templates. Coded around your business.,Talk direct to a senior Indian web developer in 2 hours. No sales rep. Source code yours.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ shipped.,"Sites that load under 1 second, rank on Google, and capture leads 24/7 with AI chat.",custom-website,india,https://ai.rdmi.in/custom-website-development
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Services,,web development services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Services,,web development services,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Services,,,,Responsive search ad,Web Development Services,Web Development Services India,Top Web Development Services,Best Web Development Services,Front-End to Full-Stack,"CMS, E-Commerce, Redesign","React, Next.js, Node.js",Talk to a Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We're Late,200+ Websites Delivered,Loads in Under 1 Second,24/7 AI Chat Built In,Senior Indian Developers,"Full-stack web development services - front-end, back-end, CMS, e-commerce, support.",Talk direct to a senior Indian web developer in 2 hours. No sales rep. Source code yours.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ shipped.,"Sites that load under 1 second, rank on Google, and capture leads 24/7 with AI chat.",web-development,india,https://ai.rdmi.in/web-development-services
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Agency,,web development agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Agency,,web development agency,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Web Development Agency,,,,Responsive search ad,Web Development Agency,Web Development Agency India,Top Web Development Agency,Best Web Development Agency,Your Dedicated Dev Team,No Account-Manager Filter,Talk Direct to Your Engineer,Talk to a Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We're Late,200+ Websites Delivered,Loads in Under 1 Second,24/7 AI Chat Built In,Senior Indian Developers,"A web development agency that works like your in-house team. Talk direct, no filter.",Talk direct to a senior Indian web developer in 2 hours. No sales rep. Source code yours.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ shipped.,"Sites that load under 1 second, rank on Google, and capture leads 24/7 with AI chat.",web-development,india,https://ai.rdmi.in/web-development-agency
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ecommerce Website Development Company,,ecommerce website development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ecommerce Website Development Company,,ecommerce website development company,Exact,,,,,,,,,,,,,,,,,,,,,,,
9561365956,RDMI | Web Dev SKAG | CSV Import 23May,Search,Paused,3500,Daily,Maximize clicks,Google search,SKAG | Ecommerce Website Development Company,,,,Responsive search ad,Ecommerce Website Development,Online Stores That Convert,Shopify and Headless Stores,Built to Lift Add-to-Cart,Talk to a Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We're Late,200+ Websites Delivered,Loads in Under 1 Second,24/7 AI Chat Built In,Senior Indian Developers,Source Code Yours Day One,"No Sales Reps, Just Devs",Live Staging in 14 Days,E-commerce website development - Shopify or headless stores built to convert more.,Talk direct to a senior Indian web developer in 2 hours. No sales rep. Source code yours.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ shipped.,"Sites that load under 1 second, rank on Google, and capture leads 24/7 with AI chat.",ecommerce,india,https://ai.rdmi.in/ecommerce-development-company
