Campaign,Campaign Type,Status,Budget,Budget Type,Bid Strategy Type,Networks,Languages,Ad Group,Max CPC,Keyword,Match Type,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",,,,,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,web development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,web development company,Exact,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,website development company,Phrase,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,web development services,Phrase,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,web development agency,Phrase,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,web development firm,Phrase,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG1 - Web Development Company,,,,Responsive search ad,Web Development Company,Website That Brings Leads,Talk to Senior Developer,WhatsApp Reply in 2 Hours,Free 48-Hour Prototype,Money-Back If We Are Late,Not a Brochure A Lead Engine,200+ Websites Shipped,Senior Indian Developers,No Sales Rep No Juniors,Source Code Yours Day One,50 to 200 Leads a Month,Pays For Itself in 90 Days,AI Chat Agent Built In,Loads in Under 1 Second,Get a website that brings 50-200 qualified leads a month. Senior dev replies in 2 hrs.,Free 48-hour prototype before you pay. Money-back if we miss the deadline. 200+ sites.,Talk direct to a senior Indian developer. No sales rep. Source code yours from day one.,AI chat agent books demos 24/7. Loads under 1 second. Pays for itself in 90 days.,web-development,india,https://ai.rdmi.in/web-development-company
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG2 - Custom Web Development,,custom web development,Phrase,,,,,,,,,,,,,,,,,,,,,,,
RDMI | Web Development | Search | India,Search,Enabled,3500,Daily,Maximize clicks,Google search,"English;Hindi",AG2 - Custom Web Development,,custom web development,Exact,,,,,,,,,,,,,,,,,,,,,,,
